"N","Site","Nest","Tree","DBH","Stage","Ht","logDBH"
485,"COA","TC","PSME",127,2,29,4.84418708645859
486,"COA","PL","PSME",98,2,34,4.58496747867057
487,"COA","TC","PSME",110,2,42,4.70048036579242
488,"COA","TC","PSME",109,2,24,4.69134788222914
489,"COA","PL","PSME",109,1,45,4.69134788222914
490,"COA","SC","PSME",145,2,52,4.97673374242057
491,"COA","TC","PSME",127,2,38,4.84418708645859
492,"COA","PL","PSME",141,1,29,4.94875989037817
493,"COA","SC","PSME",187,2,56,5.23110861685459
494,"COA","TC","PSME",142,2,12,4.95582705760126
495,"COA","TC","PSME",175,2,44,5.16478597392351
496,"COA","PL","ABGR",93,1,37,4.53259949315326
498,"COA","TC","PSME",120,2,47,4.78749174278205
499,"COA","TC","PSME",164,2,42,5.0998664278242
500,"COA","PL","PSME",216,1,30,5.37527840768417
501,"COA","PL","PSME",140,1,50,4.9416424226093
502,"COA","TC","PSME",182,2,44,5.2040066870768
503,"COA","TC","PSME",106,2,45,4.66343909411207
504,"COA","TC","PSME",109,2,42,4.69134788222914
505,"COA","TC","PSME",124,2,26,4.82028156560504
506,"COA","TC","PSME",105,2,19,4.65396035015752
509,"COA","TC","PSME",141,2,41,4.94875989037817
510,"COA","TC","PSME",172,2,50,5.14749447681345
512,"COA","TC","THPL",168,2,47,5.12396397940326
513,"COA","TC","PSME",142,2,33,4.95582705760126
514,"COA","TC","PSME",155,2,47,5.04342511691925
515,"COA","TC","PSME",104,2,30,4.64439089914137
516,"COA","TC","PSME",150,2,34,5.01063529409626
517,"COA","TC","PSME",161,2,51,5.08140436498446
518,"COA","SC","PSME",202,2,58,5.30826769740121
519,"COA","TC","PSME",134,2,52,4.89783979995091
520,"COA","TC","PSME",143,2,56,4.96284463025991
521,"COA","TC","PSME",130,2,34,4.86753445045558
522,"COA","TC","PSME",142,2,43,4.95582705760126
523,"COA","TC","PSME",171,2,54,5.14166355650266
525,"COA","TC","PSME",161,2,37,5.08140436498446
526,"COA","TC","PSME",110,2,31,4.70048036579242
527,"COA","TC","PSME",144,2,44,4.969813299576
529,"COA","TC","PSME",109,2,35,4.69134788222914
530,"COA","TC","PSME",114,2,25,4.7361984483945
531,"COA","TC","PSME",154,2,47,5.03695260241363
532,"COA","TC","PSME",159,2,44,5.06890420222023
533,"COA","PL","PSME",183,2,45,5.20948615284142
534,"COA","TC","PSME",127,2,28,4.84418708645859
535,"COA","SC","THPL",107,2,41,4.67282883446191
536,"COA","TC","PSME",106,2,32,4.66343909411207
538,"COA","TC","PSME",180,2,30,5.19295685089021
539,"COA","SC","PSME",144,2,31,4.969813299576
540,"COA","TC","PSME",132,2,48,4.88280192258637
541,"COA","SC","PSME",136,2,45,4.91265488573605
542,"COA","TC","PSME",168,2,48,5.12396397940326
543,"COA","SC","THPL",130,2,44,4.86753445045558
544,"COA","TC","PSME",129,2,48,4.85981240436167
545,"COA","SC","PSME",135,2,35,4.90527477843843
546,"COA","TC","PSME",147,2,37,4.99043258677874
547,"COA","TC","PSME",137,2,32,4.91998092582813
548,"COA","PL","THPL",116,1,49,4.75359019110636
549,"COA","SC","PSME",189,2,56,5.24174701505964
551,"COA","TC","PSME",157,2,48,5.05624580534831
553,"COA","TC","PSME",175,2,46,5.16478597392351
554,"COA","TC","PSME",115,2,40,4.74493212836325
555,"COA","TC","PSME",154,2,47,5.03695260241363
556,"COA","SC","PSME",147,1,60,4.99043258677874
558,"COA","TC","PSME",144,2,44,4.969813299576
559,"COA","TC","THPL",244,2,45,5.4971682252932
560,"COA","SC","PSME",170,2,36,5.13579843705026
561,"COA","TC","PSME",123,2,48,4.81218435537242
562,"COA","TC","PSME",183,2,48,5.20948615284142
563,"COA","TC","PSME",147,2,36,4.99043258677874
564,"COA","TC","PSME",139,2,41,4.93447393313069
565,"COA","TC","PSME",122,2,29,4.80402104473326
567,"COA","TC","PSME",120,2,50,4.78749174278205
568,"COA","TC","PSME",103,2,38,4.63472898822964
569,"COA","PL","PSME",190,1,73,5.24702407216049
570,"COA","TC","PSME",150,2,49,5.01063529409626
571,"COA","TC","PSME",141,2,35,4.94875989037817
572,"COA","TC","PSME",175,2,35,5.16478597392351
573,"COA","TC","PSME",113,2,44,4.72738781871234
